data;ano;mes;nome_mes;trimestre;dia;dia_semana;fim_de_semana;ano_mes
2025-03-19;2025;3;Março;1;19;Quarta-feira;False;2025-03
2025-03-20;2025;3;Março;1;20;Quinta-feira;False;2025-03
2025-03-21;2025;3;Março;1;21;Sexta-feira;False;2025-03
2025-03-22;2025;3;Março;1;22;Sábado;True;2025-03
2025-03-23;2025;3;Março;1;23;Domingo;True;2025-03
2025-03-24;2025;3;Março;1;24;Segunda-feira;False;2025-03
2025-03-25;2025;3;Março;1;25;Terça-feira;False;2025-03
2025-03-26;2025;3;Março;1;26;Quarta-feira;False;2025-03
2025-03-27;2025;3;Março;1;27;Quinta-feira;False;2025-03
2025-03-28;2025;3;Março;1;28;Sexta-feira;False;2025-03
2025-03-29;2025;3;Março;1;29;Sábado;True;2025-03
2025-03-30;2025;3;Março;1;30;Domingo;True;2025-03
2025-03-31;2025;3;Março;1;31;Segunda-feira;False;2025-03
2025-04-01;2025;4;Abril;2;1;Terça-feira;False;2025-04
2025-04-02;2025;4;Abril;2;2;Quarta-feira;False;2025-04
2025-04-03;2025;4;Abril;2;3;Quinta-feira;False;2025-04
2025-04-04;2025;4;Abril;2;4;Sexta-feira;False;2025-04
2025-04-05;2025;4;Abril;2;5;Sábado;True;2025-04
2025-04-06;2025;4;Abril;2;6;Domingo;True;2025-04
2025-04-07;2025;4;Abril;2;7;Segunda-feira;False;2025-04
2025-04-08;2025;4;Abril;2;8;Terça-feira;False;2025-04
2025-04-09;2025;4;Abril;2;9;Quarta-feira;False;2025-04
2025-04-10;2025;4;Abril;2;10;Quinta-feira;False;2025-04
2025-04-11;2025;4;Abril;2;11;Sexta-feira;False;2025-04
2025-04-12;2025;4;Abril;2;12;Sábado;True;2025-04
2025-04-13;2025;4;Abril;2;13;Domingo;True;2025-04
2025-04-14;2025;4;Abril;2;14;Segunda-feira;False;2025-04
2025-04-15;2025;4;Abril;2;15;Terça-feira;False;2025-04
2025-04-16;2025;4;Abril;2;16;Quarta-feira;False;2025-04
2025-04-17;2025;4;Abril;2;17;Quinta-feira;False;2025-04
2025-04-18;2025;4;Abril;2;18;Sexta-feira;False;2025-04
2025-04-19;2025;4;Abril;2;19;Sábado;True;2025-04
2025-04-20;2025;4;Abril;2;20;Domingo;True;2025-04
2025-04-21;2025;4;Abril;2;21;Segunda-feira;False;2025-04
2025-04-22;2025;4;Abril;2;22;Terça-feira;False;2025-04
2025-04-23;2025;4;Abril;2;23;Quarta-feira;False;2025-04
2025-04-24;2025;4;Abril;2;24;Quinta-feira;False;2025-04
2025-04-25;2025;4;Abril;2;25;Sexta-feira;False;2025-04
2025-04-26;2025;4;Abril;2;26;Sábado;True;2025-04
2025-04-27;2025;4;Abril;2;27;Domingo;True;2025-04
2025-04-28;2025;4;Abril;2;28;Segunda-feira;False;2025-04
2025-04-29;2025;4;Abril;2;29;Terça-feira;False;2025-04
2025-04-30;2025;4;Abril;2;30;Quarta-feira;False;2025-04
2025-05-01;2025;5;Maio;2;1;Quinta-feira;False;2025-05
2025-05-02;2025;5;Maio;2;2;Sexta-feira;False;2025-05
2025-05-03;2025;5;Maio;2;3;Sábado;True;2025-05
2025-05-04;2025;5;Maio;2;4;Domingo;True;2025-05
2025-05-05;2025;5;Maio;2;5;Segunda-feira;False;2025-05
2025-05-06;2025;5;Maio;2;6;Terça-feira;False;2025-05
2025-05-07;2025;5;Maio;2;7;Quarta-feira;False;2025-05
2025-05-08;2025;5;Maio;2;8;Quinta-feira;False;2025-05
2025-05-09;2025;5;Maio;2;9;Sexta-feira;False;2025-05
2025-05-10;2025;5;Maio;2;10;Sábado;True;2025-05
2025-05-11;2025;5;Maio;2;11;Domingo;True;2025-05
2025-05-12;2025;5;Maio;2;12;Segunda-feira;False;2025-05
2025-05-13;2025;5;Maio;2;13;Terça-feira;False;2025-05
2025-05-14;2025;5;Maio;2;14;Quarta-feira;False;2025-05
2025-05-15;2025;5;Maio;2;15;Quinta-feira;False;2025-05
2025-05-16;2025;5;Maio;2;16;Sexta-feira;False;2025-05
2025-05-17;2025;5;Maio;2;17;Sábado;True;2025-05
2025-05-18;2025;5;Maio;2;18;Domingo;True;2025-05
2025-05-19;2025;5;Maio;2;19;Segunda-feira;False;2025-05
2025-05-20;2025;5;Maio;2;20;Terça-feira;False;2025-05
2025-05-21;2025;5;Maio;2;21;Quarta-feira;False;2025-05
2025-05-22;2025;5;Maio;2;22;Quinta-feira;False;2025-05
2025-05-23;2025;5;Maio;2;23;Sexta-feira;False;2025-05
2025-05-24;2025;5;Maio;2;24;Sábado;True;2025-05
2025-05-25;2025;5;Maio;2;25;Domingo;True;2025-05
2025-05-26;2025;5;Maio;2;26;Segunda-feira;False;2025-05
2025-05-27;2025;5;Maio;2;27;Terça-feira;False;2025-05
2025-05-28;2025;5;Maio;2;28;Quarta-feira;False;2025-05
2025-05-29;2025;5;Maio;2;29;Quinta-feira;False;2025-05
2025-05-30;2025;5;Maio;2;30;Sexta-feira;False;2025-05
2025-05-31;2025;5;Maio;2;31;Sábado;True;2025-05
2025-06-01;2025;6;Junho;2;1;Domingo;True;2025-06
2025-06-02;2025;6;Junho;2;2;Segunda-feira;False;2025-06
2025-06-03;2025;6;Junho;2;3;Terça-feira;False;2025-06
2025-06-04;2025;6;Junho;2;4;Quarta-feira;False;2025-06
2025-06-05;2025;6;Junho;2;5;Quinta-feira;False;2025-06
2025-06-06;2025;6;Junho;2;6;Sexta-feira;False;2025-06
2025-06-07;2025;6;Junho;2;7;Sábado;True;2025-06
2025-06-08;2025;6;Junho;2;8;Domingo;True;2025-06
2025-06-09;2025;6;Junho;2;9;Segunda-feira;False;2025-06
2025-06-10;2025;6;Junho;2;10;Terça-feira;False;2025-06
2025-06-11;2025;6;Junho;2;11;Quarta-feira;False;2025-06
2025-06-12;2025;6;Junho;2;12;Quinta-feira;False;2025-06
2025-06-13;2025;6;Junho;2;13;Sexta-feira;False;2025-06
2025-06-14;2025;6;Junho;2;14;Sábado;True;2025-06
2025-06-15;2025;6;Junho;2;15;Domingo;True;2025-06
2025-06-16;2025;6;Junho;2;16;Segunda-feira;False;2025-06
2025-06-17;2025;6;Junho;2;17;Terça-feira;False;2025-06
2025-06-18;2025;6;Junho;2;18;Quarta-feira;False;2025-06
2025-06-19;2025;6;Junho;2;19;Quinta-feira;False;2025-06
2025-06-20;2025;6;Junho;2;20;Sexta-feira;False;2025-06
2025-06-21;2025;6;Junho;2;21;Sábado;True;2025-06
2025-06-22;2025;6;Junho;2;22;Domingo;True;2025-06
